MW12VK_SBA1M300000D_EBOM_V01,,,,,,,,,,
,,,,,,,,,,
PCBA:  ,SBA1M300000D,ICS:,01,eBOM Ver:,1,,,,,
Item,Part Number,Part Name,MPN,SUPPLIER,Description,QTY,Ref Designator,Sort,,
31,AEB0000347CX,AEB0000347C1,SD18-0836R8UUQ1,KYOCERA,"双工器,SAW Duplexer,Tentative,824-849 MHz/869-894 MHz,1.8×1.4×0.55 mm,8 PINs,N/A,",1,FL4204,Filter,,
32,AEB0000413CX,AEB0000413C1,SFXG47AYM02,WISOL,"双工器,SAW Duplexer,LTE Band3,1747.5 MHz/1842.5 MHz,1.8×1.4×0.58 mm,8 PINs,N/A,SFXG47AYM02,WISOL",1,FL4210,Filter,,
33,AEB0000429CX,AEB0000429C1,SFXG50FY902,WISOL,"SAW Duplexer,LTE Band 1,1950 MHz/2140 MHz,1.8×1.4×0.65 mm,8 PINs,SFXG50FY902,WISOL",1,FL4209,Filter,,
34,AEB0000346CX,AEB0000346C1,SFX897BYF02,WISOL,"双工器,SAW Duplexer,LTE Band 8,897.5/942.5 MHz,1.8×1.4×0.58 mm,8 PINs,N/A,SFX897BYF02,WISOL",1,FL4205,Filter,,
35,AEB0000408CX,AEB0000408C1,SD18-2535R8UUC1,KYOCERA,"双工器,SAW Duplexer,LTE B7,2535 MHz/2655 MHz,1.8×1.4×0.57 mm,8 PINs,N/A,SD18-2535R8UUC1,KYOCERA",1,FL4202,Filter,,
36,AEB0000358CX,AEB0000358C1,SAYEY806MBC0F0A,MURATA,"SAW Duplexer,B20/Unbalanced/LR/1814,847 MHz/806 MHz,1.8×1.4×0.6 mm,8 PINs",1,FL4211,Filter,,
37,AED0000204CX,AED0000204C1,RFDIP1005040L38Q1C,WALSIN,"分频器,DIPLEXER,MULTILAYER CERAMIC,2.4 GHz/5 GHz,1×0.5×0.4 mm,4 PINs,N/A,RFDIP1005040L38Q1C,WALSIN",2,"FL4603,FL4604",Filter,,
38,AED0000279CX,AED0000279C1,DPX252690DT-5031A,TDK,"Diplexer,Multilayer,698-960 MHz/1710-2690 MHz,2.5×2×1 mm,8 PINs,DPX252690DT-5031A1,TDK",2,"FL4208,FL4405",Filter,,
39,AEE0000049CX,AEE0000049C1,TFCPL0605030L18A1U,WALSIN,"耦合器,Coupler,Dual-band,2.4 GHz/5 GHz,0.65×0.5×0.3 mm,4 PINs,N/A,TFCPL0605030L18A1U,WALSIN",2,"FL4601,FL4602",Filter,,
40,AED0000201CX,AED0000201C1,RFBLN1608070F48Q1C,WALSIN,"巴伦,BALUN,LTCC Multi Layer Chip Balun,673 ~ 2700 MHz,1.6 X 0.8X 0.6 mm,6 PINs,N/A,RFBLN1608070F48Q1C,WALSIN",1,FL4203,filter,,
41,AJA4800006CX,AJA4800006C1,1ZZHAE48000ZZ0C,KDS,"晶体,Crystal,48 MHz,±20 ppm,7 pF,2.05×1.65×0.45 mm,100 uW,N/A,1ZZHAE48000ZZ0C,KDS",1,Y4601,Crystal,,
42,AJA1920021CX,AJA1920021C1,X1E000291000100,EPSON,"晶体,Crystal,19.2 MHz,±12 ppm,7 pF,2.5×2×1 mm,100 uW,N/A,X1E000291000100,EPSON",1,Y3101,Crystal,,
43,AFD0000066CX,AFD0000066C1,PESD5V0H1BSF,NXP OR NEXPERIA,"过压保护二极管(ESD),Transient Voltage Suppressors,N/A,0.15 pF/0.13 pF,5 V,DSN0603-2,Bi-Directional,N/A,PESD5V0H1BSF,NXP OR NEXPERIA",4,"T5920,T5921,T5926,T5927",TVS,,
44,ALC0000075CX,ALC0000075C1,PESD5V0V1BL,NXP OR NEXPERIA,"ESD保护二极管,ESD protection diode,single line,11 pF,5 V,SOD882,Bi-Directional,N/A,PESD5V0V1BL,NXP OR NEXPERIA",11,"T5101,T5102,T5103,T5104,T5105,T5106,T5901,T5930,T5931,T3401,T3402",TVS,,
45,AMS0000023CX,AMS0000023C1,PTVSHC3D4V5BH,PRISEMI,"静电防护器,ESD Protection,1 Channels,Bi-Directional,SOD-323,VRWM=4.5 V,PTVSHC3D4V5BH,PRISEMI",1,T3408,TVS,,
46,AFD0000055CX,AFD0000055C1,PTVSHC3N12VU,PRISEMI,"过压保护二极管(ESD),Transient Voltage Suppressors,Low clamping Voltage,1000 pF,12 V,DFN2×2-3L,Uni-Directional,2.1×2.1×0.65 mm,PTVSHC3N12VU,PRISEMI",1,T3404,TVS,,
47,AHA0000220CX,AHA0000220C1,PNM723T30V0,PRISEMI,"MOSFET,N Channel,150 mW,9 ohm,SOT-723,PNM723T30V01,PRISEMI",6,"Q5101,Q5102,Q5103,Q5104,Q5105,Q5106",MOSFET,,
48,AFB0000042CX,AFB0000042C1,A-SP194R6C-C02-4T,AMICC,"Light-Emitting Diode,Top view,Mono-Color,Brilliant Red,60 mW,0603,1.6×0.8×0.4 mm,25 mA,VF=1.7-2.2V,A-SP194R6C-C02-4T,AMICC",2,"LED5101,LED5105",LED,,
49,AFB0000037CX,AFB0000037C1,A-SP194B1C-C01-4T,AMICC,"发光二极管,LED,Top view,Brilliant Blue,95 mW,N/A,0603,1.6×0.8×0.4 mm,25 mA,2.8-3.1 V,A-SP194B1C-C01-4T,AMICC",4,"LED5102,LED5103,LED5104,LED5106",LED,,
50,T1001371AAAA,TA05-T1001371AAAA,NCP15WF104F03RC,MURATA,"热敏电阻,Thermistor,100K ohm,±1 %,100 mW,0402,N/A,NCP15WF104F03RC,MURATA",1,R4304,NTC,,
51,AAA0000JD0CX,AAA0000JD0C1,RS-05000JT,FENGHUA,"电阻,Resistor,0 ohm,±5 %,1/8 W,0805(T=0.5 mm),2.2×1.4×0.6 mm,RS-05000JT,FENGHUA",2,"R3419,R3406",Resistor,,
52,AAA0000JC6CX,AAA0000FC6C1,RS-03000FT,FENGHUA,普通电阻 Resistor 0 ohm ±1 % 1/10 W 0603 1.75×0.95×0.5 mm RS-03000FT FENGHUA,3,"R4704,R5914,R4307",Resistor,,1
53,AAA0000JB0CX,AAA0000JB0C1,RC-02000JT,FENGHUA,"电阻,Resistor,0 ohm,±5 %,1/16 W,0402,N/A,RC-02000JT,FENGHUA",6,"R3301,R3302,R3304,R4107,R4501,R4502",Resistor,,
54,AAA0000JA0CX,AAA0000JA0C1,RC-01000JT,FENGHUA,"电阻,Resistor,0 ohm,±5 %,1/20 W,0201,N/A,RC-01000JT,FENGHUA",98,"R1204,R1205,R1221,R1702,R1704,R3203,R3204,R3209,R3303,R3305,R4108,R4109,R4110,R6100,R6101,R6102,R6103,R6104,R6105,R6106,R6107,R3402,R3403,R4503,R4504,R4505,R4506,R4507,R4515,R4519,R4520,R4533,R4534,R4535,R4536,R5120,R5905,R5950,R5951,R5952,R5953,R4101,R4102,R4103,R4104,R4105,R4201,R4202,R4203,R4204,R4208,R4209,R4210,R4211,R4212,R4213,R4306,R4309,R4310,R4312,R4313,R4314,R4315,R4316,R4318,R4319,R4401,R4402,R4403,R4404,R4405,R4407,R4409,R4411,R4412,R4416,R4418,R4702,R4601,R4605,R4606,R4613,R4614,C4343,L4604,L4620,C4607,C4632,C4610,C4611,L4614,L4621,C4643,C4642,C4620,R4321,R4206,C4602",Resistor,,4
55,AAA0510FA0CX,AAA0510FA0C1,RC-01W510FT,FENGHUA,"电阻,Resistor,51 ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W510FT,FENGHUA ",2,"R4603,R4607",Resistor,,
56,AAA0201FA0CX,AAA0201FA0C1,RC-01W201FT,FENGHUA,"电阻,Resistor,200 ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W201FT,FENGHUA,",6,"R5108,R5109,R5110,R5111,R5112,R5113",,,
57,AAA0241FA0CX,AAA0241FA0C1,RC-01W241FT,FENGHUA,"电阻,Resistor,240 ohm,±1 %,1/20 W,0201,N/A,RC-01W241FT,FENGHUA",2,"R1501,R2101",Resistor,,
58,AAA0102JA0CX,AAA0102JA0C1,RC-01W102JT,FENGHUA,"电阻,Resistor,1K ohm,±5 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W102JT,FENGHUA",2,"R5114,R5115",Resistor,,
59,AAA1431FA0CX,  AAA1431FA0C1,RC-01W1431FT,FENGHUA,"电阻,Resistor,1.43K ohm,±1 %,1/20 W,0201,N/A,RC-01W1431FT,FENGHUA",2,"R1303,R1304",Resistor,,
60,AAA0222JA0CX,AAA0222JA0C1,RC-01W222JT,FENGHUA,"电阻,Resistor,2.2K ohm,±5 %,1/20 W,0201,N/A,RC-01W222JT,FENGHUA",2,"R1201,R1202",Resistor,,6
61,AAA4021FA0CX,AAA4021FA0C1,RC-01W4021FT,FENGHUA,"电阻,Resistor,4.02K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W4021FT,FENGHUA",1,R1302,Resistor,,
62,AAA0682FA0CX,AAA0682FA0C1,RC-01W682FT,FENGHUA,"电阻,Resistor,6.8K ohm,±1 %,1/20 W,0201,N/A,RC-01W682FT,FENGHUA",1,R5912,Resistor,,
63,AAA0103JA0CX,AAA0103JA0C1,RC-01W103JT,FENGHUA,"电阻,Resistor,10K ohm,±5 %,1/20 W,0201,N/A,RC-01W103JT,FENGHUA",20,"R3221,R4508,R4512,R4513,R4514,R3411,R3413,R3415,R3416,R5107,R5908,R5910,R3408,R2102,R2103,R1214,R1216,R1217,R1219,R3417",Resistor,,
64,AAA0103FA0CX,AAA0103FA0C1,RC-01W103FT,FENGHUA,"电阻,Resistor,10K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W103FT,FENGHUA",1,R3401,Resistor,,
65,AAA0203JA0CX,AAA0203JA0C1,RC-01W203JT,FENGHUA,"电阻,Resistor,20K ohm,±5 %,1/20 W,0201,N/A,RC-01W203JT,FENGHUA",1,R3220,Resistor,,
66,AAA0683FA0CX,AAA0683FA0C1,RC-01W683FT,FENGHUA,"电阻,Resistor,68K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W683FT,FENGHUA",1,R1904,Resistor,,
67,AAA0104FA0CX,AAA0104FA0C1,RC-01W104FT,FENGHUA,"电阻,Resistor,100K ohm,±1 %,1/20 W,0201,N/A,RC-01W104FT,FENGHUA",3,"R3113,R3201,R4303",Resistor,,
68,AAA0104JA0CX,AAA0104JA0C1,RC-01W104JT,FENGHUA,"电阻,Resistor,100K ohm,±5 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W104JT,FENGHUA",9,"R3118,R5101,R5102,R5103,R5104,R5105,R5106,R4701,R3107",Resistor,,
69,AAA0204JA0CX,AAA0204JA0C1,RC-01W204JT,FENGHUA,"电阻,Resistor,200K ohm,±5 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W204JT,FENGHUA",1,R3117,Resistor,,
70,AAA0204FA0CX,AAA0204FA0C1,RC-01W204FT,FENGHUA,"电阻,Resistor,200K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W204FT,FENGHUA",1,R3116,Resistor,,
71,AAA0304FA0CX,AAA0304FA0C1,RC-01W304FT,FENGHUA,"电阻,Resistor,300K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W304FT,FENGHUA",1,R4703,Resistor,,
72,AAA0105JA0CX,AAA0105JA0C1,RC-01W105JT,FENGHUA,"电阻,Resistor,1M ohm,±5 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W105JT,FENGHUA",1,R5903,Resistor,,
73,ACA08HBA01CX,ACA08HBA01C2,LQP03TG0N8B02D,MURATA,"电感,Inductor,0.8 nH,±0.1 nH,DCR=0.1 ohm,750 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG0N8B02D,MURATA",1,L4330,Inductor,,
74,ACA01TBAA5CX,ACA01TBAA5C4,SDCL0603Q1N0BT02B02,SUNLORD,"电感,Inductor,1 nH,±0.1 nH,DCR=0.11 ohm,600 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q1N0BT02B02,SUNLORD",3,"L4222,L4426,C4601",Inductor,,
75,ACA12HBA01CX,ACA12HBA01C2,LQP03TG1N2B02D,MURATA,"电感,Inductor,1.2 nH,±0.1 nH,DCR=0.15 ohm,600 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG1N2B02D,MURATA",3,"L4502,L4503,R4205",Inductor,,
76,ACA15HBA02CX,ACA15HBA02C2,LQP03TG1N5B02D,MURATA,"电感,Inductor,1.5 nH,±0.1 nH,DCR=0.15 ohm,600 mA,0201,Film,N/A,LQP03TG1N5B02D,MURATA",6,"C4205,C4351,R4615,L4625,C4618,C4608 ",Inductor,,
77,ACA18HBAA6CX,ACA18HBAA6C4,SDCL0603Q1N8BT02B02,SUNLORD,"电感,Inductor,1.8 nH,±0.1 nH,DCR=0.18 ohm,500 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q1N8BT02B02,SUNLORD",1,L4424,Inductor,,
78,ACA02TBA05CX,ACA02TBA05C2,LQP03TG2N0B02D,MURATA,"电感,Inductor,2 nH,±0.1 nH,DCR=0.25 ohm,450 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG2N0B02D,MURATA",2,"L4252,C4201",Inductor,,
79,ACA22HBAA6CX,ACA22HBAA6C4,SDCL0603Q2N2BT02B02,SUNLORD,"电感,Inductor,2.2 nH,±0.1 nH,DCR=0.2 ohm,450 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q2N2BT02B02,SUNLORD",2,"L4425,L4310",Inductor,,
80,ACA27HBAA5CX,ACA27HBAA5C4,SDCL0603Q2N7BT02B02,SUNLORD,"电感,Inductor,2.7 nH,±0.1 nH,DCR=0.25 ohm,450 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q2N7BT02B02,SUNLORD",5,"L4230,L4415,L4420,L4241,C4212",Inductor,,
81,ACA03TBAA5CX,ACA03TBAA5C4,SDCL0603Q3N0BT02B02,SUNLORD,"电感,Inductor,3 nH,±0.1 nH,DCR=0.25 ohm,450 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q3N0BT02B02,SUNLORD",1,C4341,,,
82,ACA33HBAA5CX,ACA33HBAA5C4,SDCL0603Q3N3BT02B02,SUNLORD,"电感,Inductor,3.3 nH,±0.1 nH,DCR=0.32 ohm,400 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q3N3BT02B02,SUNLORD",7,"L4217,L4251,L4308,L4421,L4303,L4618 ,L4443",Inductor,,
83,ACA36HBAA6CX,ACA36HBAA6C4,SDCL0603Q3N6BT02B02,SUNLORD,"电感,Inductor,3.6 nH,±0.1 nH,DCR=0.34 ohm,350 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q3N6BT02B02,SUNLORD",4,"L4249,L4259,C4342,R4207",Inductor,,
84,ACA39HBAA4CX,ACA39HBAA4C4,SDCL0603Q3N9BT02B02,SUNLORD,"电感,Inductor,3.9 nH,±0.1 nH,DCR=0.34 ohm,350 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q3N9BT02B02,SUNLORD",1,L4258,Inductor,,
85,ACA43HHA01CX,ACA43HHA01C1,SDCL0603Q3N0BT02B02,SUNLORD,"电感,Inductor,4.3 nH,±3 %,DCR=0.4 ohm,350 mA,0201,Film,N/A,LQP03TN4N3H02D,MURATA ",3,"L4220,C4345,R4406",,,
86,ACA51HHA03CX,ACA51HHA03C2,LQP03TG5N1H02D,MURATA,"电感,Inductor,5.1 nH,±3 %,DCR=0.72 ohm,250 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG5N1H02D,MURATA",4,"L4231,L4257,L4412,L4419",Inductor,,
87,ACA56HHA02CX,ACA56HHA02C1,LQP03TG5N6H02D,MURATA,"电感,Inductor,5.6 nH,±3 %,DCR=0.88 ohm,250 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG5N6H02D,MURATA",4,"L4261,L4442,C4609,L4610",Inductor,,
88,ACA62HBAA1CX,ACA62HBAA1C4,SDCL0603Q6N2BT02B02,SUNLORD,"电感,Inductor,6.2 nH,±0.1 nH,DCR=0.5 ohm,200 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q6N2BT02B02,SUNLORD",3,"L4212,C4344,L4205",Inductor,,
89,ACA68HHA06CX,ACA68HHA06C1,LQP03TG6N8H02D,MURATA,"电感,Inductor,6.8 nH,±3 %,DCR=1.15 ohm,200 mA,0201,Film,N/A,LQP03TG6N8H02D,MURATA",1,L4215,,,
90,ACA82HHA04CX,ACA82HHA04C1,LQP03TG8N2H02D,MURATA,"电感,Inductor,8.2 nH,±3 %,DCR=1.4 ohm,200 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG8N2H02D,MURATA",4,"L1401,L1402,L1403,L1404",Inductor,,
91,ACA91HHA04CX,ACA91HHA04C2,LQP03TG9N1H02D,MURATA,"电感,Inductor,9.1 nH,±3 %,DCR=1.4 ohm,200 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG9N1H02D,MURATA",2,"L4250,L4313",Inductor,,
92,ACA10THA05CX,ACA10THA05C2,LQP03TG10NH02D,MURATA,"电感,Inductor,10 nH,±3 %,DCR=1.52 ohm,190 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG10NH02D,MURATA",1,L4201,,,
93,ACA12TJAA4CX,ACA12TJAA4C4,SDCL0603Q12NJT02B02,SUNLORD,"电感,Inductor,12 nH,±5 %,DCR=1.42 ohm,180 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q12NJT02B02,SUNLORD",5,"L4243,L4244,L4246,L4239,L4427",Inductor,,
94,ACA15THA05CX,ACA15THA05C2,LQP03TG15NH02D,MURATA,"电感,Inductor,15 nH,±3 %,DCR=1.9 ohm,170 mA,0201,Film,N/A,LQP03TG15NH02D,MURATA",1,L4224,,,
95,ACA18THA06CX,ACA18THA06C2,LQP03TG18NH02D,MURATA,"电感,Inductor,18 nH,±3 %,DCR=2.28 ohm,160 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG18NH02D,MURATA",1,L4245,Inductor,,
96,ACA22THA06CX,ACA22THA06C2,LQP03TG22NH02D,MURATA,"电感,Inductor,22 nH,±3 %,DCR=2.85 ohm,140 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG22NH02D,MURATA",2,"L4260,L4441",Inductor,,
97,ACB010M9BLCX,ACB010M9BLCF,MPIA201610-1R0M-LF,MICROGATE,"功率电感,Power Inductor,1 uH,±20 %,DCR=0.075 ohm,3150 mA,N/A,2400 mA,Wire-Wound,N/A,2.2×1.8×1.05 mm,MPIA201610-1R0M-LF,MICROGATE",5,"L3401,L3301,L3303,L3305,L5901",Power Inductor,,
98,ACB15FM9A7CX,ACB15FM9B6C4,SPH252012H1R5MT,SUNLORD,"功率电感,Power Inductor,1.5 uH,±20 %,DCR=0.065 ohm,2350 mA,N/A,2100 mA,Wire-Wound,1008,2.7×2.2×1.2 mm,SPH252012H1R5MT,SUNLORD",1,L4501,Power Inductor,,
99,ACB22FM9BACX,ACB22FM9BAC4,WPN201610H2R2MT,SUNLORD,"功率电感,Power Inductor,2.2 uH,±20 %,DCR=0.142 ohm,2150 mA,39 MHz,1700 mA,Wire-Wound,N/A,2.2×1.8×1.0 mm,WPN201610H2R2MT,SUNLORD",3,"L4701,L3302,L3304",Power Inductor,,
100,ABA02FAJAHC2X,ABA02FAJAHC2,C0201HQC0R2A500NTA,EYANG,"普通电容,Capacitor,0.2 pF,±0.05 pF,50 V,HQC,0201,0.63×0.33×0.33 mm,C0201HQC0R2A500NTA,EYANG",3,"C4633,C4644,L4629",,,
101,ABA03FBJACCX,ABA03FBJACC2,C0201C0G0R3B500NT,EYANG,"普通电容,Capacitor,0.3 pF,±0.1 pF,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G0R3B500NT,EYANG",3,"C4356,L4627,L4202",,,-1
102,ABA05FBJACCX,ABA05FBJACC2,C0201C0G0R5B500NTA,EYANG,"普通电容,Capacitor,0.5 pF,±0.1 pF,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G0R5B500NTA,EYANG",5,"C4226,C4264,C4306,C4330,C4420",Capacitor,,
103,ABA010BJA0CX,ABA010BJA0C2,C0201C0G1R0B500NT,EYANG,"电容,Capacitor,1pF,±0.1pF,50V,C0G,0201,C0201C0G1R0B500NT,EYANG,",5,"C4624,C4635,C4445,C4619,L4401",Capacitor,,
