EE120_SBA1M300001E_EBOM_V01,,,,,,,,
,,,,,,,,
PCBA:  ,SBA1M300001E,ICS:,01,eBOM Ver:,1,,,
Item,Part Number,Part Name,MPN,SUPPLIER,Description,QTY,Ref Designator,Sort
23,AEA0000531CX,AEA0000531C1 ,QM22249,QORVO,"Saw Filter,2402.5-2481.5 MHz,1.1×0.9×0.5 mm,5 PINs,QM22249,QORVO",2,"FL4605,FL4606",Filter
24,AEA0000416CX,AEA0000416C1,SFH806BA002,WISOL,"Saw Filter,LTE Band 20 Rx,806 MHz,1.1×0.9×0.5 mm,5 PINs,N/A",1,FL4412,Filter
25,AEB0000413CX,AEB0000413C1,SFXG47AYM02,WISOL,"双工器,SAW Duplexer,LTE Band3,1747.5 MHz/1842.5 MHz,1.8×1.4×0.58 mm,8 PINs,N/A,SFXG47AYM02,WISOL",1,FL4210,Filter
26,AEB0000429CX,AEB0000429C1,SFXG50FY902,WISOL,"SAW Duplexer,LTE Band 1,1950 MHz/2140 MHz,1.8×1.4×0.65 mm,8 PINs,SFXG50FY902,WISOL",1,FL4209,Filter
27,AEB0000346CX,AEB0000346C1,SFX897BYF02,WISOL,"双工器,SAW Duplexer,LTE Band 8,897.5/942.5 MHz,1.8×1.4×0.58 mm,8 PINs,N/A,SFX897BYF02,WISOL",1,FL4205,Filter
28,AEB0000408CX,AEB0000408C1,SD18-2535R8UUC1,KYOCERA,"双工器,SAW Duplexer,LTE B7,2535 MHz/2655 MHz,1.8×1.4×0.57 mm,8 PINs,N/A,SD18-2535R8UUC1,KYOCERA",1,FL4202,Filter
29,AEB0000358CX,AEB0000358C1,SAYEY806MBC0F0A,MURATA,"SAW Duplexer,B20/Unbalanced/LR/1814,847 MHz/806 MHz,1.8×1.4×0.6 mm,8 PINs",1,FL4211,Filter
30,AED0000204CX,AED0000204C1,RFDIP1005040L38Q1C,WALSIN,"分频器,DIPLEXER,MULTILAYER CERAMIC,2.4 GHz/5 GHz,1×0.5×0.4 mm,4 PINs,N/A,RFDIP1005040L38Q1C,WALSIN",2,"FL4603,FL4604",Filter
31,AED0000279CX,AED0000279C1,DPX252690DT-5031A,TDK,"Diplexer,Multilayer,698-960 MHz/1710-2690 MHz,2.5×2×1 mm,8 PINs,DPX252690DT-5031A1,TDK",2,"FL4208,FL4405",Filter
32,AEE0000049CX,AEE0000049C1,TFCPL0605030L18A1U,WALSIN,"耦合器,Coupler,Dual-band,2.4 GHz/5 GHz,0.65×0.5×0.3 mm,4 PINs,N/A,TFCPL0605030L18A1U,WALSIN",2,"FL4601,FL4602",Filter
33,AED0000201CX,AED0000201C1,RFBLN1608070F48Q1C,WALSIN,"巴伦,BALUN,LTCC Multi Layer Chip Balun,673 ~ 2700 MHz,1.6 X 0.8X 0.6 mm,6 PINs,N/A,RFBLN1608070F48Q1C,WALSIN",1,FL4203,filter
34,AJA4800006CX,AJA4800006C1,1ZZHAE48000ZZ0C,KDS,"晶体,Crystal,48 MHz,±20 ppm,7 pF,2.05×1.65×0.45 mm,100 uW,N/A,1ZZHAE48000ZZ0C,KDS",1,Y4601,Crystal
35,AJA1920021CX,AJA1920021C1,X1E000291000100,EPSON,"晶体,Crystal,19.2 MHz,±12 ppm,7 pF,2.5×2×1 mm,100 uW,N/A,X1E000291000100,EPSON",1,Y3101,Crystal
36,AFD0000066CX,AFD0000066C1,PESD5V0H1BSF,NXP OR NEXPERIA,"过压保护二极管(ESD),Transient Voltage Suppressors,N/A,0.15 pF/0.13 pF,5 V,DSN0603-2,Bi-Directional,N/A,PESD5V0H1BSF,NXP OR NEXPERIA",4,"T5920,T5921,T5926,T5927",TVS
36A,#AFD0000045CX,AFD0000045C1,ESD5311Z-2/TR,WILLSEMI,"过压保护二极管(ESD),Transient Voltage Suppressors,Ultra-low Capacitance/1-Line,0.25 pF,5 V,DFN0603-2L,Bi-Directional,0.6×0.3×0.3 mm,ESD5311Z-2/TR,WILLSEMI",4,"T5920,T5921,T5926,T5927",TVS
37,ALC0000075CX,ALC0000075C1,PESD5V0V1BL,NXP OR NEXPERIA,"ESD保护二极管,ESD protection diode,single line,11 pF,5 V,SOD882,Bi-Directional,N/A,PESD5V0V1BL,NXP OR NEXPERIA",11,"T5101,T5102,T5103,T5104,T5105,T5106,T5901,T5930,T5931,T3401,T3402",TVS
38,AMS0000023CX,AMS0000023C1,PTVSHC3D4V5BH,PRISEMI,"静电防护器,ESD Protection,1 Channels,Bi-Directional,SOD-323,VRWM=4.5 V,PTVSHC3D4V5BH,PRISEMI",1,T3408,TVS
39,AFD0000055CX,AFD0000055C1,PTVSHC3N12VU,PRISEMI,"过压保护二极管(ESD),Transient Voltage Suppressors,Low clamping Voltage,1000 pF,12 V,DFN2×2-3L,Uni-Directional,2.1×2.1×0.65 mm,PTVSHC3N12VU,PRISEMI",1,T3404,TVS
40,AHA0000220CX,AHA0000220C1,PNM723T30V0,PRISEMI,"MOSFET,N Channel,150 mW,9 ohm,SOT-723,PNM723T30V01,PRISEMI",6,"Q5101,Q5102,Q5103,Q5104,Q5105,Q5106",MOSFET
40A,#AHA0000132CX,AHA0000132C1,WNM2030-3/TR,WILLSEMI,"场效应管,MOSFET,N Channel,370. mW,0.210 ohm,SOT-723,N/A,WNM2030-3/TR,WILLSEMI",6,"Q5101,Q5102,Q5103,Q5104,Q5105,Q5106",MOSFET
41,AFB0000042CX,AFB0000042C1,A-SP194R6C-C02-4T,AMICC,"Light-Emitting Diode,Top view,Mono-Color,Brilliant Red,60 mW,0603,1.6×0.8×0.4 mm,25 mA,VF=1.7-2.2V,A-SP194R6C-C02-4T,AMICC",2,"LED5101,LED5105",LED
